Fe,Co,Mn,Al,Ni,B,Hf,Si,Cu,P,Mo,Cr,La,Ti,Sn,V,Ga,Nb,Zr,C,Gd,Y,Ta,DO3,BCC,FCC,HCP,Orthorhombic,hexagonal,Tetragonal,Primitive Cubic,Ms,Hc,Ms_div30,Hc_log
86.0,0.0,0.0,0.0,0.0,12.25,0.6,0.75,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,165.5,18.4,5.516666666666667,2.9652730660692823
86.0,0.0,0.0,0.0,0.0,12.0,0.6,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,179.8,21.5,5.993333333333334,3.1135153092103742
86.0,0.0,0.0,0.0,0.0,11.75,0.6,1.25,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,188.1,36.7,6.27,3.629660094453965
85.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,213.24172639910424,7.7,7.108057546636808,2.163323025660538
84.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,202.99929881536897,6.2,6.7666432938456325,1.9740810260220096
83.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,195.15550899317049,5.3,6.505183633105683,1.840549633397487
25.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,30.7,1830.2818455567965,1.0233333333333332,7.512771462679317
22.22222222222222,22.22222222222222,0.0,0.0,22.22222222222222,0.0,0.0,0.0,11.11111111111111,0.0,0.0,22.22222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,32.7,2626.056561016273,1.09,7.8736193201032725
20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,29.6,2626.056561016273,0.9866666666666667,7.8736193201032725
26.7,26.7,0.0,0.0,26.7,11.0,0.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,111.99352195626676,5.3,3.7331173985422255,1.840549633397487
50.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,171.6,716.1972439135291,5.72,6.575350898881331
47.61904761904761,23.80952380952381,0.0,2.380952380952381,23.80952380952381,0.0,0.0,2.380952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,168.4,151.19719593730056,5.613333333333333,5.025177021718452
45.45454545454545,22.72727272727273,0.0,4.545454545454546,22.72727272727273,0.0,0.0,4.545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,168.4,167.1126902464901,5.613333333333333,5.124634529810802
43.47826086956522,21.73913043478261,0.0,6.521739130434782,21.73913043478261,0.0,0.0,6.521739130434782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,156.5,708.2394967589343,5.216666666666667,6.564193264638784
41.66666666666667,20.83333333333334,0.0,8.333333333333334,20.83333333333334,0.0,0.0,8.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,155.1,135.28170162811105,5.17,4.914724078979203
27.0,27.0,0.0,0.0,27.0,9.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,107.20927929479804,10.3,3.5736426431599346,2.424802725718295
27.0,27.0,0.0,0.0,27.0,9.0,0.0,9.4,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,110.0967843872397,7.1,3.6698928129079897,2.0918640616783932
27.0,27.0,0.0,0.0,27.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,107.57679273622252,8.5,3.585893091207417,2.2512917986064953
30.76923076923077,30.76923076923077,0.0,0.0,30.76923076923077,0.0,0.0,7.692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,98.48,591.8,3.2826666666666666,6.384857073981877
28.57142857142857,28.57142857142857,0.0,7.142857142857142,28.57142857142857,0.0,0.0,7.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,112.5,452.7,3.75,6.117436186669918
