Fe,Co,Mn,Al,Ni,B,Hf,Si,Cu,P,Mo,Cr,La,Ti,Sn,V,Ga,Nb,Zr,C,Gd,Y,Ta,DO3,BCC,FCC,HCP,Orthorhombic,hexagonal,Tetragonal,Primitive Cubic,Ms,Hc,Hc_log
33.33333333333333,33.33333333333333,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,71.0,477.4648292756861,6.170582706155418
33.33333333333333,33.33333333333333,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,93.0,557.0423008216337,6.32443476743211
29.41176470588236,23.52941176470588,0.0,5.88235294117647,29.41176470588236,0.0,0.0,0.0,0.0,0.0,0.0,11.76470588235294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,52.47,60.95634320419592,4.126429995152963
7.142857142857142,28.57142857142857,0.0,7.142857142857142,35.71428571428572,0.0,0.0,0.0,0.0,0.0,0.0,21.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,16.965,93.90141642421824,4.552838630944101
25.0,25.0,0.0,20.0,25.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,108.0,66.0,4.204692619390966
25.0,25.0,0.0,15.0,25.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,106.0,51.0,3.9512437185814275
25.0,25.0,0.0,10.0,25.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,101.0,110.0,4.709530201312334
10.52631578947368,36.84210526315789,0.0,0.0,31.57894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.05263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,81.0,1432.394487827058,7.267800678029234
26.31578947368421,26.31578947368421,0.0,0.0,26.31578947368421,0.0,0.0,0.0,21.05263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,78.6,362.0,5.8944028342648505
26.17801047120419,26.17801047120419,0.0,0.0,26.17801047120419,0.0,0.0,0.0,20.94240837696335,0.0,0.0,0.0,0.0,0.0,0.5235602094240838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,80.6,404.5,6.005120873555468
