Fe,Si,B,Nb,Zr,Cu,Ni,C,P,Co,Gd,Mo,Al,Y,Mn,Cr,DO3,BCC,FCC,HCP,Orthorhombic,hexagonal,Tetragonal,Ms,Hc
85.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,168.0,1034.5075
29.19,0.0,0.0,0.0,0.0,0.0,34.41,0.0,0.0,31.21,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,129.54,58.88735
24.99,0.0,0.0,0.0,0.0,0.0,34.22,0.0,0.0,28.05,0.0,0.0,2.98,9.765,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,136.53,278.52125
25.925,0.0,0.0,0.0,0.0,0.0,32.56,0.0,0.0,28.455,0.0,0.0,2.835,10.19,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,139.25,461.5495
28.94,0.0,0.0,0.0,0.0,0.0,27.615,0.0,0.0,30.59,0.0,0.0,2.7,10.155,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,121.31,103.45075
31.495,0.0,0.0,0.0,0.0,0.0,25.85,0.0,0.0,29.99,0.0,0.0,2.685,9.96,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,115.78,262.60575
64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,10.0,0.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,140.64542,221.305823275
63.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,0.0,0.0,10.0,0.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,149.62943,201.296856675
62.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,0.0,0.0,10.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,163.41997,147.3106849
61.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,0.0,0.0,10.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,186.46872,127.302514075
60.8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,0.0,0.0,10.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,179.64603,125.70221055
60.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,171.12977,106.602814775
68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,10.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,122.55,96.288775
68.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,123.66,160.74655
68.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,122.64,191.781775
64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,153.75,156.767675
