Fe,Si,B,Nb,Zr,Cu,Ni,C,P,Co,Gd,Mo,Al,Y,Mn,Cr,Ta,DO3,BCC,FCC,HCP,Orthorhombic,hexagonal,Tetragonal,Ms,Hc
24.99,0.0,0.0,0.0,0.0,0.0,34.22,0.0,0.0,28.05,0.0,0.0,2.98,9.765,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,136.53,278.52115041081686
25.925,0.0,0.0,0.0,0.0,0.0,32.56,0.0,0.0,28.455,0.0,0.0,2.835,10.19,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,139.25,461.5493349664965
28.94,0.0,0.0,0.0,0.0,0.0,27.615,0.0,0.0,30.59,0.0,0.0,2.7,10.155,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,121.31,103.45071300973197
31.495,0.0,0.0,0.0,0.0,0.0,25.85,0.0,0.0,29.99,0.0,0.0,2.685,9.96,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,115.78,262.6056561016273
64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,140.64542,221.305823275
63.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,0.0,0.0,10.0,0.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,149.62943,201.296856675
62.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,163.41997,147.3106849
61.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,186.46872,127.302514075
60.8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,179.64603,125.70221055
60.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,171.12977,106.602814775
68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,10.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,122.55,96.288775
68.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,123.66,160.74655
68.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,122.64,191.781775
64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,153.75,156.767675
64.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,170.65,243.50715
64.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,151.83,287.274775
60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,10.0,0.0,15.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,140.87,177.457825
60.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,5.0,0.0,15.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,154.5,338.204375
60.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,142.31,452.0002
49.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0,0.0,44.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,225.2,3397.95925
26.9,0.0,0.0,0.0,0.0,0.0,50.8,0.0,0.0,22.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,132.2,1392.60625
65.5,0.0,0.0,0.0,0.0,0.0,22.8,0.0,0.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,194.7,2657.8885
17.4,0.0,0.0,0.0,0.0,0.0,38.3,0.0,0.0,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,182.1,2522.60675
36.5,0.0,0.0,0.0,0.0,0.0,8.4,0.0,0.0,55.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,192.9,2299.78975
22.6,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,73.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,183.0,2275.9165
48.2,0.0,0.0,0.0,0.0,0.0,9.3,0.0,0.0,42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,187.7,3310.424
5.7,0.0,0.0,0.0,0.0,0.0,9.9,0.0,0.0,84.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,200.9,4360.847
37.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,193.2,3167.1845
94.2,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,204.01925,1351.21480915
73.63,12.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.32,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,156.66419,1738.4596143
83.95,16.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,178.2091,1247.8102141
70.7,15.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.08,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,147.18589,2192.32670245
72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,102.18,595.10441825
50.22,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,11.34,0.0,0.0,0.0,0.0,0.0,19.44,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,104.92381388514141,26045.0
51.86,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,11.62,0.0,0.0,0.0,0.0,0.0,20.04,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,80.27041468331673,19300.0
53.49,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0,0.0,0.0,0.0,0.0,20.64,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,106.91015584495386,15860.0
